word,frequency
rudely,8
strumpeted,2
wrongfully,8
disgraced,4
limping,3
sway,37
disabled,3
tongue-tied,12
authority,58
(doctor-like),1
simple,78
miscalled,1
simplicity,14
captive,18
infection,21
impiety,8
achieve,14
lace,6
society,26
imitate,13
indirectly,8
bankrupt,14
beggared,1
blush,58
lively,14
veins,31
exchequer,7
gains,8
stores,1
last,299
bad,131
map,13
lived,19
bastard,69
signs,35
durst,57
inhabit,9
tresses,7
sepulchres,4
shorn,2
fleece,10
gay,10
another’s,12
robbing,6
dress,22
yore,1
mend,61
tongues,81
(the,10
voice,166
souls),1
uttering,3
commend,98
accents,8
seeing,56
shown,32
guess,51
measure,95
churls,2
(although,1
kind),1
add,46
rank,50
smell,56
weeds,45
matcheth,1
common,158
defect,14
slander’s,1
suspect,41
crow,32
flies,59
slander,48
wooed,6
vice,54
present’st,1
pure,97
unstained,4
passed,6
ambush,9
victor,9
charged,12
tie,22
envy,57
enlarged,2
kingdoms,26
owe,79
mourn,30
surly,11
bell,40
warning,15
fled,97
vile,124
vilest,5
nay,593
line,45
remember,200
thinking,48
(perhaps),1
compounded,11
clay,15
wise,174
task,34
recite,1
love),2
devise,49
willingly,36
impart,11
untrue,7
shamed,4
yellow,30
few,68
boughs,10
ruined,2
choirs,1
late,208
birds,44
sang,1
seest,47
twilight,1
sunset,4
fadeth,1
seals,11
glowing,6
ashes,24
death-bed,7
expire,9
consumed,2
nourished,2
perceiv’st,1
arrest,29
bail,17
carry,93
memorial,3
reviewest,1
review,1
consecrate,9
lost,280
dregs,7
coward,94
wretch’s,1
contains,12
remains,43
food,71
sweet-seasoned,1
showers,11
ground,181
peace,549
strife,44
’twixt,27
miser,4
enjoyer,1
doubting,7
filching,3
counting,4
bettered,4
feasting,10
clean,23
starved,9
possessing,2
pursuing,4
pine,23
surfeit,19
gluttoning,1
variation,3
glance,14
aside,64
new-found,2
methods,1
compounds,6
noted,24
word,510
showing,16
proceed,74
always,63
dressing,1
spending,3
already,148
spent,76
telling,27
dial,9
vacant,6
mind’s,4
imprint,1
learning,32
mouthed,3
graves,34
dial’s,2
shady,4
stealth,10
progress,13
eternity,14
contain,15
commit,42
blanks,5
children,114
nursed,2
delivered,27
brain,82
acquaintance,40
offices,34
profit,42
enrich,10
invoked,1
assistance,14
alien,3
got,128
poesy,5
disperse,11
ignorance,40
aloft,21
fly,256
added,20
feathers,16
learned’s,1
wing,29
double,84
compile,2
others’,9
works,27
arts,14
graced,5
advance,38
aid,62
decayed,4
sick,169
(sweet,1
deserves,40
travail,10
worthier,14
pays,28
stole,25
behaviour,30
afford,22
thank,295
owes,26
faint,53
knowing,48
thereof,41
spends,5
fame,87
(wide,1
is),1
humble,67
proudest,14
sail,49
saucy,35
bark,50
(inferior,1
his),1
broad,20
wilfully,6
shallowest,2
afloat,2
soundless,2
wrecked),1
worthless,18
boat,11
tall,38
building,10
goodly,87
epitaph,16
forgotten,15
immortal,29
(once,1
gone),1
yield,157
entombed,2
monument,46
o’er-read,3
breathers,1
(such,1
pen),1
breathes,14
mouths,39
attaint,9
o’erlook,3
dedicated,3
writers,7
blessing,49
finding,19
limit,20
enforced,17
anew,10
fresher,10
stamp,26
time-bettering,1
devised,7
strained,2
rhetoric,8
sympathized,2
plain,128
true-telling,1
gross,56
cheeks,91
abused,18
saw,292
(or,1
found),1
exceed,18
debt,46
slept,37
extant,6
modern,10
quill,5
silence,87
impute,4
impair,2
mute,19
confine,18
immured,4
example,33
equal,51
grew,38
lean,44
penury,7
writes,24
dignifies,4
story,77
counterpart,1
admired,9
blessings,21
praises,32
comments,4
richly,16
compiled,2
phrase,26
muses,2
filed,4
unlettered,3
clerk,20
amen,81
hymn,5
able,63
affords,16
polished,1
refined,3
hearing,101
praised,19
something,188
hindmost),1
precious),1
ripe,43
inhearse,1
spirits,136
above,152
struck,81
compeers,2
giving,43
astonished,1
affable,6
familiar,37
ghost,48
gulls,2
intelligence,27
victors,10
countenance,58
enfeebled,3
farewell,372
estimate,6
releasing,2
bonds,24
determinate,5
granting,4
riches,24
deserving,17
patent,4
swerving,3
mistaking,10
misprision,7
comes,648
dream,123
waking,24
disposed,3
weakness,26
concealed,5
attainted,4
gainer,2
bending,20
injuries,24
doing,74
vantage,41
double-vantage,1
lameness,2
halt,10
(love),1
desired,12
strangle,7
walks,26
(too,1
profane),1
wronk,1
vow,88
debate,17
bent,43
join,59
bow,60
drop,80
after-loss,1
’scaped,4
rearward,4
conquered,7
windy,9
rainy,4
morrow,130
linger,11
purposed,6
overthrow,18
petty,33
griefs,64
onset,5
strains,8
compared,4
garments,50
new-fangled,3
hawks,5
hounds,29
humour,99
adjunct,5
finds,51
particulars,11
general,200
richer,19
prouder,8
garments’,1
costs,3
horses,60
wretched,80
wretchcd,1
term,25
depends,10
depend,16
vex,19
revolt,43
what’s,101
blessed-fair,1
supposing,5
deceived,20
altered,2
hatred,17
many’s,2
history,22
moods,5
frowns,20
creation,12
decree,12
workings,3
sweetness,9
eve’s,1
apple,10
hurt,102
unmoved,1
rightly,26
inherit,16
tibey,1
lords,405
owners,5
stewards,2
excellence,20
outbraves,1
dignity,38
turn,282
sourest,4
lilies,4
fester,3
fragrant,5
spot,12
budding,3
enclose,2
(making,1
sport),1
dispraise,10
naming,5
blesses,2
mansion,14
vices,14
habitation,5
chose,18
veil,9
heed,53
heart),1
privilege,32
hardest,2
ill-used,1
wantonness,8
sport,131
resort,14
finger,64
throned,4
queen,477
esteemed,8
errors,11
truths,7
translated,5
deemed,2
